year,1,5,10,20,40,100
1500,21,21,2,5,0,0
1501,6,6,1,2,0,0
1502,11,19,0,2,0,0
1503,7,13,2,5,0,0
1504,7,5,1,6,0,0
1505,27,22,1,9,0,0
1506,27,6,4,1,0,0
1507,14,6,6,3,0,0
1508,38,11,1,8,0,0
1509,43,1,0,3,5,0
1510,77,2,3,14,0,0
1511,35,0,0,8,0,0
1512,33,0,1,4,0,0
1513,30,2,0,3,0,0
1514,27,2,1,4,0,0
1515,56,6,3,2,8,0
1516,33,3,3,0,9,0
1517,56,0,3,0,6,0
1518,43,4,4,8,0,0
1519,33,1,8,10,0,0
1520,78,10,4,12,0,0
1521,53,5,6,8,0,0
1522,39,4,4,1,6,0
1523,41,6,1,3,8,0
1524,29,1,2,1,5,0
1525,62,16,13,2,13,0
1526,44,14,8,5,10,0
1527,47,16,2,15,11,0
1528,46,22,7,11,8,0
1529,27,22,3,6,7,0
1530,29,45,28,16,19,0
1531,11,42,20,13,14,0
1532,36,24,16,4,9,0
1533,33,50,8,2,16,0
1534,30,46,11,5,15,0
1535,30,24,14,9,20,0
1536,31,9,8,15,15,0
1537,29,3,17,8,17,0
1538,40,12,23,19,22,0
1539,35,5,7,16,15,0
1540,38,22,11,10,20,0
1541,17,15,9,3,15,0
1542,16,37,24,3,10,0
1543,33,33,13,6,17,0
1544,38,19,13,11,18,0
1545,19,42,16,11,22,0
1546,32,44,11,4,20,0
1547,50,13,23,28,12,0
1548,36,86,61,30,38,0
1549,45,25,25,33,26,0
1550,53,93,21,25,31,0
1551,26,49,15,11,30,0
1552,25,36,19,16,28,0
1553,41,35,17,27,34,0
1554,12,36,21,11,40,0
1555,12,43,44,57,34,0
1556,10,55,22,42,33,0
1557,15,21,19,13,25,0
1558,16,36,9,20,16,0
1559,46,23,18,12,7,0
1560,46,40,13,25,17,0
1561,42,29,17,15,27,0
1562,28,60,22,16,7,11
1563,50,36,12,14,20,0
1564,36,10,6,8,9,12
1565,43,38,12,28,7,15
1566,29,55,22,30,15,16
1567,15,57,31,11,15,9
1568,35,25,20,9,24,0
1569,39,52,29,2,22,0
1570,61,109,31,17,18,16
1571,40,50,10,16,15,9
1572,51,41,32,19,10,15
1573,41,52,16,20,19,13
1574,28,50,44,24,16,14
1575,43,70,46,28,13,20
1576,31,62,43,8,14,10
1577,40,74,29,20,15,13
1578,38,109,9,21,17,13
1579,57,113,24,19,12,21
1580,108,91,26,21,20,18
1581,93,123,10,19,17,18
1582,77,65,21,12,11,16
1583,98,71,16,19,17,22
1584,66,83,36,26,32,16
1585,59,80,45,39,20,33
1586,38,115,12,27,15,12
1587,57,85,24,30,22,10
1588,67,79,46,26,9,12
1589,73,127,14,18,23,18
1590,102,83,38,34,23,27
1591,111,92,31,28,20,7
1592,87,90,30,29,33,16
1593,78,49,25,12,18,16
1594,58,93,31,47,16,12
1595,77,109,48,35,16,21
1596,71,118,32,45,20,15
1597,66,98,30,31,20,17
1598,68,125,44,21,16,11
1599,90,119,26,37,10,12
1600,85,125,47,29,22,24
1601,43,114,32,23,9,21
1602,99,129,39,9,17,14
1603,175,126,29,28,28,23
1604,146,132,30,41,21,22
1605,125,110,47,31,29,17
1606,139,149,39,37,17,13
1607,152,142,53,48,16,17
1608,126,137,46,29,20,19
1609,215,96,65,44,16,15
1610,172,122,41,24,22,11
1611,129,163,22,38,17,14
1612,139,194,45,29,16,17
1613,182,199,28,25,31,25
1614,195,119,49,13,19,22
1615,226,158,44,25,31,18
1616,200,153,42,23,20,16
1617,150,121,61,16,22,18
1618,245,157,25,35,23,15
1619,188,173,30,31,19,25
1620,236,167,33,29,32,24
1621,169,170,60,16,36,22
1622,185,243,60,29,29,20
1623,149,233,50,47,23,24
1624,203,214,46,31,19,24
1625,253,214,52,44,35,32
1626,162,136,43,19,21,23
1627,167,157,38,39,22,12
1628,177,154,54,44,37,24
1629,167,166,64,26,22,27
1630,202,281,50,42,39,31
1631,158,276,43,34,47,29
1632,207,214,39,37,19,19
1633,163,235,61,55,32,33
1634,163,220,58,36,26,28
1635,200,229,71,59,39,27
1636,185,168,55,42,19,27
1637,196,151,87,55,13,33
1638,252,189,84,61,24,22
1639,237,195,47,60,30,26
1640,281,292,81,54,24,29
1641,307,447,197,141,121,92
1642,1000,886,475,398,306,268
1643,490,613,163,138,108,142
1644,404,309,158,111,53,49
1645,388,341,119,72,52,40
1646,399,383,138,93,50,49
1647,419,426,136,105,89,102
1648,526,353,196,133,110,109
1649,523,229,147,135,83,57
1650,422,299,180,98,54,101
1651,304,288,117,89,61,56
1652,291,255,148,101,90,73
1653,335,334,122,101,64,70
1654,332,263,123,89,72,71
1655,375,289,183,95,42,88
1656,306,373,166,76,57,62
1657,341,375,125,94,88,52
1658,290,454,126,90,66,56
1659,424,489,203,167,58,102
1660,780,647,274,221,165,198
1661,376,407,217,132,92,101
1662,271,340,138,90,64,78
1663,406,272,91,81,37,78
1664,210,275,93,79,38,49
1665,185,257,86,90,37,70
1666,156,142,115,56,47,36
1667,168,192,58,63,43,42
1668,198,193,65,65,54,48
1669,171,274,94,55,47,42
1670,233,404,129,113,66,58
1671,279,280,157,71,52,44
1672,346,296,115,113,62,48
1673,236,293,129,125,51,61
1674,439,303,92,108,78,68
1675,235,304,114,97,80,76
1676,270,293,120,92,60,50
1677,296,258,108,80,79,45
1678,433,349,136,103,55,46
1679,281,458,120,94,90,61
1680,402,456,223,176,116,117
1681,471,478,358,191,173,137
1682,326,610,312,235,127,153
1683,453,567,295,182,82,106
1684,511,535,235,147,113,92
1685,707,479,254,197,116,95
1686,391,268,131,84,78,58
1687,388,347,125,130,101,55
1688,620,433,151,185,129,100
1689,900,486,188,179,179,103
1690,827,440,200,118,97,121
1691,536,378,163,121,71,89
1692,559,344,146,119,49,78
1693,427,485,156,93,38,69
1694,433,397,130,112,46,64
1695,583,492,204,128,76,82
1696,507,415,193,92,100,99
1697,481,473,162,113,69,98
1698,412,452,176,135,51,67
1699,454,474,153,144,99,91
1700,513,597,204,177,147,141
1701,551,449,170,135,65,123
1702,710,428,182,110,68,98
1703,548,423,148,88,129,0
1704,661,423,152,105,149,0
1705,553,499,146,114,138,0
1706,579,367,108,128,178,0
1707,657,453,109,188,182,0
1708,673,497,129,141,66,98
1709,700,432,193,144,53,65
1710,932,483,256,174,88,155
1711,718,496,161,106,77,91
1712,824,416,153,95,88,93
1713,871,476,113,160,84,61
1714,745,668,248,181,95,100
1715,905,679,211,136,114,100
1716,755,567,203,160,98,79
1717,814,450,211,125,89,70
1718,672,358,253,133,82,77
1719,765,390,222,136,69,79
1720,720,530,219,154,96,140
1721,694,443,187,128,81,75
1722,587,498,160,95,93,78
1723,515,458,165,93,62,79
1724,558,443,148,86,74,65
1725,534,448,223,140,93,98
1726,613,421,195,130,74,66
1727,663,458,210,147,78,76
1728,595,503,230,130,72,75
1729,483,492,235,118,91,83
1730,565,534,257,165,99,114
1731,497,485,161,144,69,72
1732,672,465,213,148,95,90
1733,693,407,187,164,101,104
1734,621,449,164,119,55,96
1735,674,571,230,138,61,93
1736,629,526,208,108,55,76
1737,490,362,161,166,73,70
1738,507,392,170,146,73,69
1739,686,419,237,192,72,100
1740,643,488,236,186,120,157
1741,624,448,201,179,92,112
1742,598,514,212,185,70,89
1743,406,636,193,194,77,97
1744,609,436,207,137,99,68
1745,784,465,237,198,131,100
1746,673,482,181,205,70,111
1747,584,455,206,164,94,96
1748,563,509,180,174,99,110
1749,659,546,173,209,123,105
1750,714,626,320,277,144,267
1751,713,571,203,135,116,110
1752,700,523,167,126,104,102
1753,689,600,197,191,81,141
1754,617,561,170,163,83,119
1755,755,666,240,181,116,134
1756,703,597,291,215,106,131
1757,726,558,305,162,83,110
1758,756,544,229,221,93,85
1759,712,624,240,210,116,106
1760,755,638,399,275,117,162
1761,659,553,330,244,104,87
1762,602,560,279,233,100,128
1763,608,682,290,228,101,112
1764,620,767,235,201,103,109
1765,709,732,296,266,139,168
1766,635,822,253,254,125,126
1767,753,737,256,240,125,136
1768,738,815,336,252,108,157
1769,775,706,309,235,160,155
1770,938,895,436,281,234,218
1771,829,622,381,186,125,107
1772,934,690,270,208,123,138
1773,932,830,296,244,106,122
1774,992,1035,355,239,133,164
1775,1136,1210,460,391,196,217
1776,1262,851,395,276,137,153
1777,1127,908,400,268,140,127
1778,1053,812,294,278,108,153
1779,991,952,327,226,147,150
1780,1086,895,394,417,191,256
1781,910,825,243,272,135,138
1782,967,843,265,354,140,133
1783,1264,782,367,316,179,135
1784,1207,836,332,350,192,178
1785,1153,1076,452,458,232,239
1786,1295,859,380,369,212,181
1787,1502,870,489,421,237,232
1788,1432,1068,424,414,294,222
1789,1388,1040,407,451,274,242
1790,1656,1534,588,664,349,489
1791,1699,1230,536,483,248,297
1792,1904,1398,628,569,237,454
1793,1941,1419,765,458,244,468
1794,1946,1583,668,633,247,469
1795,2202,1803,866,821,350,608
1796,2248,1481,909,491,356,452
1797,1988,1511,704,489,543,276
1798,2163,1650,747,499,562,273
1799,2077,1616,729,558,535,286
