pubyear,new_work,stable,return_of_earlier_publisher,new_publisher_old_inactive,new_publisher
1473,1.0,0,0,0,0
1474,1.0,1.0,0,0,0
1475,0,0,0,0,0
1476,8.0,0,0,0,0
1477,10.0,2.0,0,0,0
1478,2.0,0,0,0,0
1479,5.0,1.0,0,0,0
1480,9.0,1.0,0,0,0
1481,6.0,1.0,0,0,1.0
1482,3.0,1.0,0,1.0,0
1483,22.0,3.0,0,1.0,0
1484,7.0,2.0,0,0,0
1485,10.0,0,0,0,2.0
1486,2.0,0,0,0,1.0
1487,4.0,2.0,0,0,1.0
1488,1.0,0,0,0,2.0
1489,5.0,2.0,0,2.0,0
1490,6.0,1.0,0,1.0,1.0
1491,2.0,0,1.0,0,0
1492,5.0,0,0,2.0,4.0
1493,2.0,0,0,1.0,4.0
1494,5.0,0,0,6.0,5.0
1495,9.0,0,1.0,3.0,11.0
1496,14.0,1.0,1.0,5.0,2.0
1497,9.0,4.0,1.0,5.0,5.0
1498,11.0,5.0,1.0,0,6.0
1499,15.0,9.0,1.0,2.0,5.0
1500,10.0,8.0,4.0,2.0,5.0
1501,4.0,3.0,0.5,1.0,1.5
1502,6.999999999999999,7.0,3.0,0,3.0
1503,6.0,4.0,1.0,4.0,4.0
1504,6.0,3.0,3.0,0,2.0
1505,26.0,2.0,1.0,3.0,10.0
1506,13.0,0,2.0,7.0,6.0
1507,6.0,1.0,3.5,2.0,9.500000000000002
1508,20.0,5.0,6.0,3.0,6.0
1509,20.0,7.0,3.0,2.0,6.0
1510,28.999999999999996,11.0,4.0,3.0,14.0
1511,10.0,6.0,2.5,4.0,4.5
1512,17.0,7.0,0,3.0,4.0
1513,14.0,3.0,2.0,0,3.0
1514,7.0,8.0,5.0,0,5.0
1515,25.0,10.0,6.333333333333333,2.6666666666666665,10.0
1516,11.0,7.0,6.5,4.0,5.5
1517,16.0,17.0,6.0,1.0,5.999999999999999
1518,20.0,15.0,2.0,0,5.0
1519,11.0,11.0,6.0,5.999999999999999,5.0
1520,39.0,13.0,9.0,4.0,12.0
1521,28.0,14.0,5.5,3.5,3.0
1522,22.0,15.0,2.0,1.0,3.0
1523,20.0,10.0,6.0,5.0,5.0
1524,4.0,10.0,8.666666666666666,2.333333333333333,3.0
1525,19.0,25.0,4.0,9.0,9.0
1526,17.0,18.0,3.0,2.0,9.0
1527,22.0,19.0,3.0,8.0,11.0
1528,21.0,12.5,3.0,7.0,11.5
1529,16.0,19.0,2.0,1.0,12.0
1530,44.0,15.0,5.0,3.0,24.0
1531,35.0,8.5,3.5,8.0,22.0
1532,32.0,5.0,4.5,4.0,10.5
1533,42.0,10.5,7.0,0,10.5
1534,45.0,12.0,3.0,10.0,7.0
1535,35.0,6.5,1.5,7.999999999999999,14.0
1536,31.0,3.5,0.5,6.0,7.0
1537,34.00000000000001,4.0,1.5,2.0,8.5
1538,30.0,4.0,4.0,12.0,18.0
1539,26.0,8.0,2.0,6.0,10.0
1540,29.0,7.0,0,5.0,8.0
1541,14.0,7.0,1.5,1.5,7.0
1542,37.99999999999997,3.5,1.0,5.0,5.499999999999999
1543,38.00000000000001,6.333333333333331,0,4.0,11.66666666666667
1544,30.0,6.0,0,11.0,2.0
1545,39.0,8.0,5.0,8.0,11.0
1546,36.0,6.0,3.0,6.999999999999999,9.0
1547,64.0,5.0,2.0,8.0,6.0
1548,148.0,4.5,2.0,31.0,12.5
1549,85.99999999999999,7.5,0.5,8.5,17.5
1550,107.0,6.0,0.5,14.0,27.499999999999993
1551,63.00000000000001,7.166666666666666,0.5,2.0,19.333333333333336
1552,49.0,4.0,8.5,17.5,12.0
1553,72.0,11.5,1.0,11.0,11.5
1554,63.0,10.0,0,16.0,12.000000000000002
1555,85.0,8.0,1.0,14.0,31.0
1556,53.0,13.5,0,11.0,29.5
1557,29.0,6.333333333333333,2.5,7.999999999999999,15.166666666666666
1558,38.0,6.166666666666667,0,7.0,26.833333333333336
1559,49.0,3.0,3.5,15.5,6.999999999999999
1560,69.0,5.0,0.3333333333333333,12.0,26.666666666666668
1561,63.0,10.0,2.0,6.0,11.0
1562,77.0,9.0,1.0,8.0,10.0
1563,68.0,12.0,4.5,8.5,9.0
1564,45.0,4.0,1.5,9.0,2.5
1565,58.0,9.5,4.0,10.0,14.500000000000002
1566,82.99999999999999,10.0,2.0,5.0,14.0
1567,57.0,17.0,1.0,7.0,20.0
1568,46.0,8.5,2.5,12.5,10.5
1569,81.0,9.0,2.0,9.0,15.000000000000002
1570,146.0,23.25,7.5,7.999999999999999,11.25
1571,80.00000000000001,20.5,2.5,5.0,11.0
1572,80.0,23.5,1.0,9.0,13.5
1573,82.0,21.0,3.0,9.0,14.0
1574,95.99999999999999,23.666666666666668,0,7.0,17.333333333333336
1575,81.0,27.666666666666668,3.0,11.0,21.333333333333332
1576,79.00000000000001,28.499999999999996,5.0,5.0,16.5
1577,105.99999999999996,22.916666666666664,4.5,10.5,28.08333333333333
1578,96.99999999999999,31.000000000000004,6.5,13.0,24.5
1579,146.0,26.5,6.0,7.0,21.5
1580,150.99999999999994,42.83333333333333,4.0,15.0,32.16666666666666
1581,160.99999999999997,45.5,3.0,6.0,22.5
1582,97.0,33.75,3.0,12.000000000000002,19.25
1583,130.00000000000003,38.66666666666667,10.5,12.999999999999996,20.833333333333332
1584,132.99999999999997,30.333333333333332,8.5,13.5,37.66666666666667
1585,146.0,27.0,3.0,19.0,23.0
1586,119.99999999999999,39.333333333333336,6.0,12.0,22.666666666666664
1587,129.0,29.583333333333332,2.8333333333333335,10.0,28.583333333333332
1588,155.00000000000009,25.5,1.0,13.0,19.5
1589,166.0,26.0,3.0,8.5,25.5
1590,193.00000000000003,18.5,7.0,14.0,26.5
1591,182.00000000000003,27.5,2.0,15.000000000000002,21.5
1592,190.0,24.83333333333333,3.0,16.0,24.166666666666668
1593,114.99999999999999,20.5,1.0,10.0,25.5
1594,138.0,36.0,5.5,15.0,30.499999999999996
1595,175.00000000000003,35.666666666666664,5.0,16.0,38.33333333333333
1596,161.00000000000003,44.0,2.5,33.0,24.5
1597,144.0,41.0,7.25,20.999999999999996,21.75
1598,156.0,38.0,2.0,26.0,29.999999999999996
1599,155.99999999999997,39.5,4.0,26.0,24.5
1600,178.00000000000006,36.666666666666664,4.0,11.0,48.333333333333336
1601,141.0,30.166666666666664,0,8.0,14.833333333333334
1602,183.99999999999997,46.5,4.5,13.0,25.0
1603,266.0,31.833333333333332,3.0,28.0,31.166666666666664
1604,254.99999999999997,40.5,1.0,25.0,29.5
1605,223.00000000000003,37.0,1.5,23.0,36.500000000000014
1606,226.00000000000006,62.0,2.3333333333333335,20.0,31.666666666666668
1607,240.00000000000006,68.33333333333333,1.0,21.0,42.666666666666664
1608,199.00000000000003,66.0,2.0,26.999999999999996,34.0
1609,261.00000000000006,71.0,12.0,25.999999999999996,29.0
1610,207.00000000000006,73.0,2.0,26.5,34.5
1611,185.0,72.0,16.5,36.0,39.5
1612,261.0,84.83333333333333,6.5,13.0,30.666666666666664
1613,304.0,76.5,6.0,22.0,37.5
1614,242.0,75.83333333333334,2.0,27.0,27.166666666666664
1615,264.0000000000001,90.66666666666666,2.5,28.0,41.833333333333336
1616,247.00000000000006,88.33333333333333,4.0,32.0,49.66666666666668
1617,186.0,63.5,7.0,25.5,51.0
1618,301.0000000000005,68.41666666666667,9.25,23.0,47.33333333333334
1619,265.0,71.5,3.5,31.0,36.0
1620,275.0000000000001,80.66666666666666,9.5,35.49999999999999,31.333333333333332
1621,262.0,68.33333333333333,8.0,34.5,22.166666666666668
1622,278.0,96.66666666666666,5.0,28.0,43.33333333333336
1623,281.0,80.5,3.5,27.5,39.5
1624,318.99999999999994,65.5,6.5,33.5,32.5
1625,287.99999999999994,78.47619047619047,7.0,33.0,42.523809523809526
1626,197.0,51.16666666666667,2.5,31.999999999999996,31.333333333333332
1627,191.00000000000006,66.0,5.0,34.0,40.0
1628,221.0,68.5,8.0,26.0,45.5
1629,212.00000000000009,74.5,4.75,33.75,55.00000000000001
1630,250.0000000000001,90.58333333333331,13.833333333333332,53.5,73.08333333333333
1631,265.0,86.5,15.0,56.0,67.5
1632,230.00000000000009,108.03333333333333,7.700000000000001,30.5,45.76666666666667
1633,253.0,113.66666666666666,7.833333333333333,63.00000000000001,62.500000000000014
1634,229.0,106.25,10.166666666666666,53.50000000000001,54.083333333333336
1635,254.00000000000003,126.25,13.0,50.5,64.25
1636,189.0,116.75,10.25,35.5,66.49999999999999
1637,275.99999999999994,84.0,11.0,37.0,59.00000000000001
1638,289.0,108.66666666666667,9.833333333333332,38.666666666666664,67.83333333333334
1639,278.0,86.41666666666667,13.5,37.0,68.08333333333334
1640,366.9999999999998,101.58333333333331,10.25,44.00000000000001,59.16666666666667
1641,761.9999999999999,62.5,4.5,60.0,45.00000000000001
1642,1393.9999999999995,60.0,12.0,76.0,137.0
1643,772.0000000000002,82.33333333333331,7.5,35.0,90.16666666666667
1644,592.9999999999999,61.0,3.333333333333333,32.0,34.666666666666664
1645,568.0,55.66666666666667,8.5,20.0,28.833333333333332
1646,629.0000000000002,56.5,6.5,29.0,55.000000000000014
1647,583.0,76.99999999999997,10.0,33.0,123.0
1648,666.0,91.08333333333334,15.5,53.0,66.41666666666667
1649,572.0000000000001,66.83333333333334,13.0,25.0,87.16666666666667
1650,536.9999999999999,78.5,11.5,78.5,86.5
1651,516.9999999999999,64.33333333333334,11.833333333333332,56.00000000000001,50.83333333333334
1652,483.9999999999999,83.33333333333334,4.333333333333334,51.99999999999999,60.33333333333335
1653,590.9999999999998,66.33333333333334,7.5,61.499999999999964,58.66666666666667
1654,593.0000000000001,93.08333333333333,9.333333333333334,36.5,64.08333333333334
1655,610.0,134.66666666666663,11.5,69.0,79.83333333333334
1656,653.0000000000002,129.33333333333331,15.333333333333334,54.0,75.33333333333334
1657,655.0000000000002,109.0,17.0,67.00000000000001,64.0
1658,579.0000000000001,164.33333333333331,15.500000000000002,70.99999999999999,70.16666666666666
1659,795.0000000000001,120.33333333333331,10.5,62.00000000000002,98.16666666666666
1660,1226.999999999999,110.08333333333329,21.0,83.99999999999999,167.91666666666669
1661,756.0000000000005,130.86666666666665,18.5,71.0,93.63333333333333
1662,542.9999999999998,164.33333333333346,10.333333333333334,56.0,64.33333333333334
1663,417.00000000000006,118.33333333333331,11.333333333333334,55.66666666666668,86.66666666666666
1664,366.0,126.5,12.850000000000001,68.0,71.65
1665,386.99999999999994,104.83333333333333,4.0,51.0,62.16666666666667
1666,266.00000000000006,64.0,15.0,22.0,61.99999999999999
1667,263.0,106.16666666666667,18.0,43.0,46.833333333333336
1668,315.0000000000003,103.33333333333334,11.833333333333332,60.0,55.83333333333334
1669,307.99999999999983,86.66666666666666,14.5,61.0,129.83333333333334
1670,424.99999999999994,110.78333333333333,11.666666666666666,62.00000000000001,85.55000000000001
1671,360.99999999999983,146.79545454545462,17.506410256410252,83.99999999999996,74.69813519813522
1672,460.0,108.83333333333333,23.333333333333336,79.5,76.33333333333333
1673,454.9999999999997,139.16666666666663,11.5,64.0,57.33333333333333
1674,466.99999999999983,130.04040404040407,7.111111111111111,58.99999999999999,67.84848484848487
1675,449.99999999999994,114.16666666666664,18.9,58.000000000000014,79.93333333333334
1676,424.99999999999983,149.24999999999994,15.0,55.00000000000001,80.75000000000004
1677,436.0,129.91666666666666,11.083333333333332,53.0,74.00000000000004
1678,527.0000000000002,135.36111111111114,26.883333333333336,68.83333333333329,94.92222222222233
1679,548.9999999999987,128.62777777777774,19.25,49.99999999999999,76.12222222222223
1680,783.0000000000026,132.0555555555555,18.916666666666668,44.0,79.02777777777777
1681,862.0000000000008,132.66666666666669,13.833333333333332,54.0,83.50000000000003
1682,805.0000000000001,137.48333333333335,14.750000000000004,62.25000000000001,115.51666666666662
1683,803.0000000000006,145.61666666666667,13.583333333333336,74.16666666666666,114.6333333333333
1684,710.9999999999994,179.35,19.333333333333332,87.66666666666667,124.64999999999999
1685,829.9999999999997,167.1166666666665,25.916666666666664,87.49999999999997,129.4666666666666
1686,459.9999999999994,119.66666666666664,10.666666666666666,83.33333333333334,98.33333333333324
1687,568.9999999999995,111.10119047619051,14.958333333333334,85.00000000000003,88.94047619047622
1688,775.0,158.833333333333,21.66666666666666,51.0,110.50000000000003
1689,920.0000000000047,115.91282051282053,19.0,59.000000000000036,117.08717948717948
1690,717.0000000000005,169.9333333333333,18.099999999999998,59.00000000000017,79.96666666666665
1691,606.9999999999998,170.4333333333331,11.392857142857142,53.0,82.17380952380954
1692,660.9999999999997,150.41666666666669,8.833333333333332,62.16666666666669,70.58333333333333
1693,588.0000000000005,200.24761904761908,16.483333333333334,46.099999999999994,103.1690476190476
1694,614.9999999999998,157.20000000000005,4.5,45.000000000000014,84.30000000000001
1695,727.0000000000006,199.66666666666666,15.25,67.5,86.58333333333333
1696,694.0000000000008,177.98333333333332,20.533333333333335,56.0,115.48333333333339
1697,646.9999999999998,208.6166666666667,15.333333333333334,41.66666666666669,93.38333333333334
1698,670.9999999999997,176.61666666666665,14.666666666666666,54.5,85.21666666666667
1699,685.9999999999999,206.45000000000002,19.666666666666668,70.66666666666667,107.2166666666667
1700,800.0000000000008,211.9119047619046,25.452380952380953,91.49999999999999,142.1357142857143
1701,736.0000000000001,133.41666666666666,13.2,74.0,103.38333333333335
1702,853.0000000000005,156.1467532467532,17.333333333333336,59.750000000000014,115.76991341991342
1703,674.0000000000002,180.90952380952385,23.066666666666663,73.8333333333333,107.19047619047615
1704,783.0000000000003,182.93492063492062,11.88888888888889,76.00000000000003,109.1761904761905
1705,734.9999999999997,167.13333333333333,45.383333333333326,63.500000000000036,85.98333333333329
1706,679.9999999999998,146.05216450216452,14.811688311688311,50.00000000000001,106.13614718614717
1707,796.9999999999999,172.21212121212133,24.750000000000007,63.00000000000001,117.03787878787882
1708,788.0000000000017,183.91706349206348,23.5,61.50000000000001,143.08293650793638
1709,744.9999999999999,196.43333333333337,20.33333333333333,96.5,174.7333333333333
1710,920.0000000000008,180.94047619047615,24.949999999999996,94.00000000000004,192.10952380952364
1711,785.9999999999999,157.86666666666662,21.80277777777778,62.430555555555564,108.89999999999998
1712,794.9999999999998,152.14444444444445,36.08333333333335,88.66666666666677,124.10555555555563
1713,940.0000000000042,158.68787878787887,24.444444444444443,83.5,105.36767676767681
1714,1067.0000000000036,207.18939393939405,22.416666666666668,89.66666666666664,143.72727272727275
1715,1057.0000000000023,200.10833333333352,36.92424242424242,83.16666666666666,171.80075757575776
1716,984.0000000000025,190.60721500721505,22.180158730158727,93.50000000000006,137.7126262626262
1717,971.0000000000028,183.53333333333336,18.581547619047612,88.00000000000011,111.88511904761901
1718,774.0000000000009,179.0746392496394,24.159523809523805,88.40000000000006,139.36583694083683
1719,883.0000000000015,136.44805194805187,25.702380952380953,73.49999999999997,154.349567099567
1720,819.0000000000018,179.63185425685435,42.672402597402616,122.99999999999987,191.69574314574325
1721,848.000000000001,152.83650793650793,41.33333333333333,86.16666666666669,123.66349206349209
1722,708.0000000000001,134.40303030303033,24.228210678210676,95.40909090909102,146.9596681096681
1723,647.9999999999994,165.53818681318677,17.25,62.999999999999986,164.21181318681303
1724,643.999999999999,145.34336219336222,38.4779761904762,86.6666666666667,169.51199494949503
1725,668.9999999999994,170.71383572567794,56.28076923076923,78.2,173.8053950435531
1726,703.9999999999991,157.2714285714287,38.12420634920635,77.00000000000014,174.60436507936515
1727,767.0000000000003,159.64787697682448,34.46612554112553,81.00000000000006,171.88599748205027
1728,713.0000000000007,237.16945970695966,41.76843156843159,89.51666666666668,156.54544205794207
1729,718.0000000000009,181.06189221406615,29.877260179434092,82.00000000000004,169.06084760649964
1730,800.0000000000002,189.98284071001459,43.43890457368719,90.30000000000001,203.27825471629782
1731,661.0000000000001,182.7746392496392,27.444078144078137,64.00000000000003,156.7812826062828
1732,777.0,173.98636173767758,43.4307081807082,86.84508547008542,167.73784461152883
1733,775.9999999999999,165.1399877899877,54.352533577533585,67.69642857142856,127.81105006105017
1734,606.9999999999993,176.56115118112015,37.585897435897415,104.58333333333339,209.26961804964878
1735,736.0000000000007,240.0977106227105,44.72765567765569,99.1666666666667,265.00796703296675
1736,645.0000000000008,191.02213861018214,47.34760737628383,96.09523809523806,281.5350159182958
1737,567.0,141.29218559218572,33.575491175491166,89.95454545454544,176.17777777777775
1738,604.9999999999997,184.1795454545456,30.76764069264069,60.000000000000036,172.05281385281404
1739,842.000000000001,162.71653803712638,48.620944741532966,74.20833333333334,169.45418388800746
1740,798.0000000000006,172.29761904761912,33.25158730158729,87.0952380952381,225.35555555555572
1741,706.0000000000003,145.82236652236637,39.949352771411625,90.18095238095242,249.04732832526935
1742,787.0000000000014,159.36839826839824,43.61666666666667,90.0,209.014935064935
1743,709.0000000000008,174.73204573204578,34.520289269553956,102.92380952380968,194.8238554745907
1744,685.0000000000005,176.36493506493508,40.612121212121195,86.39999999999998,174.6229437229438
1745,902.0000000000015,149.21121933621933,43.866666666666674,102.30000000000001,197.6221139971138
1746,854.0000000000015,177.0333333333334,26.397721722721723,63.70512820512822,150.8638167388168
1747,728.0000000000002,136.9240941303102,40.277795193312436,58.75000000000006,193.0481106763774
1748,726.0000000000009,176.21814574314578,48.05151515151524,83.27619047619054,193.45414862914873
1749,824.0000000000027,207.22142857142853,49.978124326653734,98.0778280542987,208.72261904761902
1750,900.0000000000015,204.02784992784999,72.58820982938636,138.9172014260252,303.4667388167388
1751,741.0000000000013,206.3086691086692,59.706944444444474,90.99999999999999,249.98438644688648
1752,680.0000000000002,193.0380952380952,60.716269841269884,105.86111111111117,220.3845238095237
1753,840.0000000000016,213.02643467643492,48.955738705738696,97.22222222222224,218.7956043956039
1754,773.0000000000006,216.60540293040293,48.9640692640693,75.49999999999999,205.93052780552756
1755,908.0000000000034,185.40714710126477,55.05409982174693,112.49999999999999,313.0387530769879
1756,905.0000000000044,169.50349012099028,60.227202928650364,68.07575757575765,255.19354937460176
1757,825.000000000002,164.6605158730159,54.91698184856083,104.44696969696936,219.97553258145345
1758,850.0000000000024,178.18638642059705,50.90219488114227,110.00000000000007,220.91141869826095
1759,875.0000000000014,207.88472463209288,61.9438126201285,95.03809523809531,280.13336750968267
1760,964.0000000000026,219.34695014681566,64.31167811656951,123.03095238095251,317.3104193556616
1761,835.0000000000027,179.24432627829688,51.82223456282278,112.77777777777774,280.1556613811024
1762,758.000000000004,212.93677044661564,76.71724538533365,101.03571428571426,251.31026988233629
1763,843.0000000000034,208.50510878010883,67.1041042291043,104.99999999999996,255.39078699078678
1764,855.0000000000023,202.77113124301096,62.85066195758154,105.89350459482044,277.48470220458705
1765,870.0000000000027,243.08656299840516,72.42532467532475,121.11666666666673,367.3714456596027
1766,953.000000000005,218.86611604769487,70.80921717171722,130.78333333333333,280.5413334472544
1767,884.0000000000041,215.4959790209792,84.43613331113343,140.50567765567757,333.56221001220956
1768,1034.0000000000061,194.72787860922887,76.11566049986774,117.71568627450982,383.44077461639176
1769,956.0000000000084,201.00255161075626,90.16271820284989,138.33333333333348,342.5013968530606
1770,1168.9999999999968,252.17007752596007,87.3942035089095,175.38333333333304,468.05238563179745
1771,963.0000000000028,235.36498766933545,81.9451837704779,105.7427094474153,317.9471191127705
1772,1010.0000000000082,239.22849487114217,92.07041847041855,135.2705627705626,294.430523887876
1773,1057.0000000000043,238.102627372628,76.23830550168803,121.05952380952377,386.59954331616063
1774,1325.9999999999914,241.0271699484278,68.30209914190435,160.48412698412693,406.186603925541
1775,1549.9999999999875,280.35963508885317,94.4616253428949,145.88888888888886,485.28985067936156
1776,1400.9999999999945,246.84936321848093,90.89398434812529,124.5478345184227,461.70881791497015
1777,1289.999999999997,269.76286050905594,75.35193103997455,128.7321428571429,504.1530655938238
1778,1178.9999999999989,213.09431511471,74.67689800911174,124.74333333333337,376.48545354284454
1779,1313.9999999999914,200.80061605061613,57.111349761349786,118.39206349206349,325.69597069596995
1780,1335.9999999999961,248.09114774114798,75.09633005883016,157.84696969696986,348.9655525030521
1781,1126.9999999999995,231.61435786435783,70.6940835308483,107.80952380952378,294.8820347952701
1782,1174.9999999999984,251.60766955266985,69.4012763637157,105.00000000000001,312.99105408361373
1783,1370.999999999991,249.21530136530131,83.82219724719744,128.24761904761903,345.7148823398824
1784,1384.99999999999,289.7301948051947,85.46973499042484,133.51851851851848,367.28155168586153
1785,1475.9999999999884,286.86407417748626,108.45978327228329,171.2,466.4761425502293
1786,1450.999999999987,274.0608524250368,95.00579108945908,149.31280193236714,404.62055455313714
1787,1671.9999999999832,341.1182539682537,94.21637251637245,159.1166666666667,443.54870684870616
1788,1778.9999999999852,318.8601931401925,90.2288787236156,154.92222222222227,508.98870591396735
1789,1736.9999999999845,282.9816017316013,88.79604990737715,156.13283208020053,442.08951628081996
1790,2067.99999999999,346.4843191122603,128.89798714357545,229.38095238095255,656.2367413632132
1791,1831.9999999999914,310.6743958827546,167.6895021645024,215.83831168831182,625.7977902644308
1792,2183.9999999999977,367.66053490750244,169.24787817961177,278.6277777777781,697.4638091351109
1793,2310.0000000000064,370.3756090314905,145.5267050759699,222.9857142857142,749.1119716068262
1794,2473.0000000000164,395.7985042735033,119.04872620499565,203.88888888888914,852.2638806326134
1795,2661.000000000038,372.2225490196076,158.04422591941955,282.52698412698396,872.2062409339917
1796,2550.0000000000064,438.4683012226772,142.6554045606098,270.31483516483536,802.5614590518811
1797,2489.000000000017,356.4035880785873,117.69322605499082,229.9373949579836,741.9657909084399
1798,2935.0000000000587,390.9809163059156,120.69133611486562,229.77380952380955,666.5539380554094
1799,2785.0000000000427,387.66571859512993,84.53634184443003,271.4999999999999,712.2979395604405
1800,3699.0000000000664,438.51494110464625,150.27033368678119,546.7851190476192,864.4296061609571
