decade,editions_for_decade,distinct_booktrade_actors,items_with_no_actors,items_with_no_publishers,items_with_no_printers,items_with_no_booksellers,total_publishers,total_printers,total_booksellers,total_actors,items_with_no_actors_per_all_editions,items_with_no_publishers_per_all_editions,items_with_no_printers_per_all_editions,items_with_no_booksellers_per_all_editions,items_with_publishers_per_all_editions,items_with_printers_per_all_editions,items_with_booksellers_per_all_editions,actors_per_item_with_actors,printers_per_item_with_printers,publishers_per_item_with_publishers,booksellers_per_item_with_booksellers,items_with_actors,titles_per_unique_actor,canon_no_actors,canon_no_pub,canon_no_pri,canon_no_sel,canon_printers_per,canon_publishers_per,canon_booksellers_per
1500,416,155,36,36,122,397,427,297,24,452,0.08653846153846154,0.08653846153846154,0.2932692307692308,0.9543269230769231,0.9134615384615384,0.7067307692307692,0.04567307692307687,1.0865384615384615,0.7139423076923077,1.0264423076923077,0.057692307692307696,380,2.4516129032258065,0.11842105263157894,0.11842105263157894,0.47368421052631576,0.9605263157894737,0.5394736842105263,1.0921052631578947,0.07894736842105263
1510,576,187,35,35,153,564,575,429,12,605,0.06076388888888889,0.06076388888888889,0.265625,0.9791666666666666,0.9392361111111112,0.734375,0.02083333333333337,1.0503472222222223,0.7447916666666666,0.9982638888888888,0.020833333333333332,541,2.893048128342246,0.0967741935483871,0.0967741935483871,0.41935483870967744,0.9758064516129032,0.5887096774193549,1.0725806451612903,0.024193548387096774
1520,809,279,46,49,278,784,811,538,26,851,0.05686032138442522,0.06056860321384425,0.34363411619283063,0.969097651421508,0.9394313967861557,0.6563658838071693,0.030902348578491945,1.0519159456118665,0.6650185414091471,1.0024721878862795,0.032138442521631644,763,2.7347670250896057,0.09392265193370165,0.09944751381215469,0.4198895027624309,0.9668508287292817,0.580110497237569,1.0,0.03314917127071823
1530,1037,472,51,63,628,1017,1095,431,23,1145,0.04918032786885246,0.06075216972034716,0.6055930568948891,0.9807135969141755,0.9392478302796529,0.39440694310511093,0.01928640308582452,1.1041465766634522,0.4156219864995178,1.055930568948891,0.022179363548698167,986,2.0889830508474576,0.08588957055214724,0.1165644171779141,0.7361963190184049,0.9570552147239264,0.3128834355828221,1.0920245398773005,0.05521472392638037
1540,1302,582,87,92,961,1280,1535,370,22,1601,0.06682027649769585,0.0706605222734255,0.7380952380952381,0.9831029185867896,0.9293394777265745,0.26190476190476186,0.016897081413210446,1.2296466973886329,0.28417818740399386,1.1789554531490016,0.016897081413210446,1215,2.0876288659793816,0.0916030534351145,0.09923664122137404,0.816793893129771,0.9923664122137404,0.19083969465648856,0.9770992366412213,0.007633587786259542
1550,1563,826,108,137,1136,1510,1839,476,56,1928,0.0690978886756238,0.08765195137555983,0.7268074216250799,0.9660908509277031,0.9123480486244402,0.27319257837492006,0.03390914907229692,1.2335252719129879,0.30454254638515676,1.1765834932821497,0.03582853486884197,1455,1.761501210653753,0.11557788944723618,0.17587939698492464,0.8391959798994975,0.9095477386934674,0.1658291457286432,1.0804020100502512,0.09547738693467336
1560,1450,695,98,135,1247,1408,1739,242,51,1812,0.06758620689655172,0.09310344827586207,0.86,0.9710344827586207,0.906896551724138,0.14,0.0289655172413793,1.2496551724137932,0.16689655172413792,1.1993103448275861,0.03517241379310345,1352,1.9453237410071942,0.058823529411764705,0.09803921568627451,0.803921568627451,0.954248366013072,0.2222222222222222,1.130718954248366,0.0718954248366013
1570,2015,980,59,156,1556,1901,2427,507,126,2630,0.029280397022332507,0.07741935483870968,0.7722084367245657,0.943424317617866,0.9225806451612903,0.22779156327543426,0.05657568238213395,1.305210918114144,0.25161290322580643,1.2044665012406948,0.06253101736972705,1956,1.9959183673469387,0.0163265306122449,0.1306122448979592,0.710204081632653,0.8816326530612245,0.33877551020408164,1.0530612244897959,0.12244897959183673
1580,2683,1280,148,198,1730,2566,3173,1055,137,3682,0.05516213194185613,0.07379798732761834,0.6448005963473723,0.9563920983973164,0.9262020126723817,0.3551994036526277,0.043607901602683574,1.3723443906075288,0.39321654863958255,1.1826313827804695,0.051062243756988444,2535,1.98046875,0.07692307692307693,0.12040133779264214,0.7090301003344481,0.9565217391304348,0.3210702341137124,1.0367892976588629,0.056856187290969896
1590,2974,1518,168,193,1440,2792,3438,1663,198,4418,0.05648957632817754,0.06489576328177539,0.484196368527236,0.9388029589778076,0.9351042367182246,0.515803631472764,0.06119704102219237,1.4855413584398116,0.5591795561533288,1.1560188298587761,0.06657700067249496,2806,1.8484848484848484,0.0664451827242525,0.06976744186046512,0.5083056478405316,0.9900332225913622,0.5647840531561462,1.0564784053156147,0.009966777408637873
1600,4000,1863,289,328,1773,3677,4390,2375,351,6128,0.07225,0.082,0.44325,0.91925,0.918,0.5567500000000001,0.08074999999999999,1.532,0.59375,1.0975,0.08775,3711,1.9919484702093397,0.15384615384615385,0.1583710407239819,0.5361990950226244,0.9751131221719457,0.49547511312217196,0.9864253393665159,0.024886877828054297
1610,4802,2077,300,389,1982,4422,5273,3048,419,7516,0.06247396917950854,0.0810079133694294,0.41274468971261974,0.9208663057059558,0.9189920866305706,0.5872553102873803,0.07913369429404415,1.5651811745106206,0.6347355268638067,1.0980841316118284,0.08725531028738026,4502,2.167549350024073,0.021825396825396824,0.021825396825396824,0.43452380952380953,0.9662698412698413,0.5873015873015873,1.126984126984127,0.03571428571428571
1620,5656,2327,549,635,2673,5205,6501,3449,548,9023,0.09706506364922207,0.11227015558698727,0.4725954738330976,0.9202616690240453,0.8877298444130127,0.5274045261669025,0.07973833097595473,1.5952970297029703,0.6097949080622348,1.1493988684582743,0.09688826025459689,5107,2.1946712505371724,0.04251012145748988,0.05465587044534413,0.4817813765182186,0.9433198380566802,0.631578947368421,1.228744939271255,0.06275303643724696
1630,6329,3058,505,600,2547,5568,7287,4378,880,10656,0.07979143624585243,0.09480170643071575,0.40243324379838835,0.8797598356770422,0.9051982935692843,0.5975667562016116,0.12024016432295781,1.6836783062095118,0.6917364512561226,1.1513667246010428,0.13904250276504976,5824,1.9045127534336168,0.07994579945799458,0.08536585365853659,0.3888888888888889,0.9336043360433605,0.7628726287262872,1.2493224932249323,0.07723577235772358
1640,19329,4833,5164,5249,13309,18657,16306,7050,792,20236,0.267163329711832,0.27156086709089966,0.6885508820942625,0.9652335868384293,0.7284391329091003,0.3114491179057375,0.0347664131615707,1.0469243106213462,0.364736923793264,0.8436028765068032,0.040974701226136896,14165,2.930891785640389,0.1565217391304348,0.15869565217391304,0.5260869565217391,0.9576086956521739,0.6271739130434782,1.0695652173913044,0.051086956521739134
1650,13398,4815,2829,2950,7300,12188,12383,6868,1492,16958,0.21115091804746977,0.22018211673384086,0.5448574414091656,0.909688013136289,0.7798178832661591,0.4551425585908344,0.090311986863711,1.2657113001940588,0.5126138229586505,0.9242424242424242,0.11135990446335274,10569,2.1950155763239874,0.10320781032078104,0.11715481171548117,0.41841004184100417,0.9065550906555091,0.7182705718270572,1.1492329149232914,0.1101813110181311
1660,12400,4435,3089,3208,7309,11210,11346,6022,1470,14889,0.24911290322580645,0.25870967741935486,0.5894354838709678,0.9040322580645161,0.7412903225806451,0.4105645161290322,0.09596774193548385,1.2007258064516129,0.4856451612903226,0.915,0.11854838709677419,9311,2.0994363021420517,0.07269653423499578,0.07945900253592561,0.32121724429416737,0.8622147083685545,0.8960270498732037,1.2155536770921387,0.1614539306846999
1670,13009,4585,3343,3484,8492,11625,12955,5558,2128,17374,0.25697593973403027,0.26781458989930046,0.6527788454147129,0.8936121146898302,0.7321854101006995,0.34722115458528713,0.10638788531016985,1.3355369359674072,0.427242678145899,0.9958490275962795,0.16357906065031902,9666,2.108178844056707,0.10526315789473684,0.10813397129186603,0.36650717703349284,0.9033492822966507,0.8229665071770335,1.2229665071770335,0.18086124401913875
1680,20404,6494,4530,4845,13978,18058,20857,8291,3022,25725,0.22201529111938836,0.23745344050186237,0.6850617525975299,0.8850225445990982,0.7625465594981377,0.3149382474024701,0.11497745540090176,1.260782199568712,0.40634189374632423,1.0222015291119388,0.14810821407567143,15874,2.4444102248229136,0.08611326609775019,0.13343677269200932,0.48719937936384794,0.8308766485647789,0.7517455391776571,1.3273855702094648,0.2443754848719938
1690,19353,5679,5597,5843,13308,16925,17977,7458,3220,21881,0.28920580788508243,0.30191701544980104,0.6876453263059991,0.8745414147677363,0.698082984550199,0.31235467369400094,0.12545858523226372,1.1306257427788973,0.38536660982793364,0.9288999121583217,0.1663824730016018,13756,2.4222574396900862,0.059025394646533974,0.06657515442690459,0.3822923816060398,0.9238160603980783,0.7940974605353466,1.3905284831846259,0.10844200411805079
1700,22340,5961,7452,7945,14483,18403,18989,9318,4880,23707,0.3335720680393912,0.35564010743061775,0.6482990152193375,0.823769024171889,0.6443598925693823,0.3517009847806625,0.17623097582811098,1.0611906893464638,0.41709937332139657,0.85,0.21844225604297224,14888,2.497567522227814,0.09685086155674391,0.11942959001782531,0.5098039215686274,0.8591800356506238,0.5852644087938206,1.34640522875817,0.23291740938799763
1710,25129,6512,7165,7809,17291,20537,24045,10057,6999,30794,0.28512873572366587,0.3107564964781726,0.6880894583946834,0.8172629233156911,0.6892435035218274,0.3119105416053166,0.18273707668430894,1.2254367463886346,0.40021489116160613,0.9568625890405508,0.2785228222372558,17964,2.7585995085995085,0.080338266384778,0.10200845665961945,0.5422832980972516,0.821353065539112,0.5454545454545454,1.4503171247357294,0.33879492600422834
1720,21616,6845,6409,6848,14889,18263,23158,8746,6069,29397,0.29649333826794966,0.3168023686158401,0.6887953367875648,0.8448834196891192,0.6831976313841599,0.31120466321243523,0.15511658031088082,1.3599648408586233,0.4046076980014804,1.0713360473723168,0.2807642487046632,15207,2.2216216216216216,0.08713503649635036,0.10218978102189781,0.5260036496350365,0.8416970802919708,0.5766423357664233,1.7354014598540146,0.3302919708029197
1730,21569,7457,5923,6330,15199,18241,23006,7712,6155,29418,0.27460707496870507,0.29347674903797116,0.7046687375399879,0.8457044832861977,0.7065232509620288,0.29533126246001207,0.15429551671380226,1.363901896239974,0.357550187769484,1.066623394686819,0.28536325281654223,15646,2.098162800053641,0.10289017341040463,0.11560693641618497,0.5838150289017341,0.8458574181117534,0.4932562620423892,1.7441233140655106,0.26473988439306356
1740,23118,8248,6268,6825,15826,18833,23415,9734,7662,30365,0.2711307206505753,0.29522450038930703,0.6845747902067653,0.8146465957262738,0.704775499610693,0.31542520979323474,0.18535340427372615,1.3134786746258327,0.4210571848775846,1.0128471321048533,0.3314300545029847,16850,2.0429194956353056,0.10551181102362205,0.11692913385826771,0.5771653543307087,0.7881889763779527,0.5291338582677165,1.6598425196850393,0.3736220472440945
1750,27272,9536,7989,8768,19171,22536,29833,10927,8931,37078,0.292937811674978,0.32150190671751244,0.7029554121443239,0.826342035787621,0.6784980932824876,0.2970445878556761,0.173657964212379,1.3595629216779115,0.40066735112936347,1.0939058374889996,0.3274787327662071,19283,2.022126677852349,0.14050329538645895,0.1542840023966447,0.6213301378070701,0.8238466147393649,0.48921509886159376,1.8499101258238466,0.3262432594367885
1760,32430,12084,11012,11769,23014,27775,37028,13191,9795,45957,0.3395621338267037,0.36290471785383904,0.7096515572001233,0.8564600678384212,0.637095282146161,0.2903484427998767,0.1435399321615788,1.417113783533765,0.4067530064754857,1.141782300339192,0.30203515263644776,21418,1.7724263488910956,0.13915772953178132,0.15014386607376407,0.6152236463510332,0.8694742348940623,0.5249803818990322,2.1281715929897986,0.2772691603452786
1770,40136,14839,12136,13387,26421,33385,46150,18615,13498,57856,0.30237193541957347,0.3335409607335061,0.6582868247956947,0.831796890572055,0.666459039266494,0.34171317520430533,0.16820310942794503,1.4414989037273271,0.46379808650588,1.1498405421566673,0.3363065577038071,28000,1.8869196037468832,0.192090395480226,0.20883029922577945,0.6760828625235404,0.8290437329985353,0.4339820046034735,1.9688219292739066,0.30675873613726723
1780,47460,18441,15330,16631,30496,40396,47391,22481,15041,61442,0.3230088495575221,0.3504214075010535,0.6425621576064054,0.8511588706278972,0.6495785924989466,0.35743784239359455,0.1488411293721028,1.294605983986515,0.47368310155920773,0.9985461441213653,0.3169195111672988,32130,1.7423133235724744,0.20256465985655292,0.22321234514236035,0.6422516844164312,0.8448163442729841,0.47815692240817215,1.6546402955879156,0.2501630080417301
1790,75599,30164,22859,25208,44733,62041,76410,40470,30919,106968,0.30237172449371025,0.3334435640683078,0.5917141761134407,0.8206590034259712,0.6665564359316922,0.4082858238865593,0.1793409965740288,1.414939351049617,0.5353245413299118,1.0107276551277133,0.40898689136099686,52740,1.748441851213367,0.15900503778337532,0.17522040302267003,0.5562027707808564,0.7929785894206549,0.5902078085642317,1.6245277078085643,0.38129722921914355
